a[mm],hw[mm],tw[mm],bf[mm],tf[mm],Fyw[MPa],Fyf[MPa],hw/tw,bf/2tf,a/hw,Vu [kN]
600,599.2,10.2,200.1,12.4,505,498,58.74509804,8.068548387,1.001335113,1838
1200,600,4.1,200.1,12.6,569,498,146.3414634,7.94047619,2,396
1200,600.9,6,200,12.3,559,498,100.15,8.130081301,1.997004493,682
1200,600,8.4,199.8,12.3,514,498,71.42857143,8.12195122,2,976
1200,600.1,10.6,200.4,12.6,505,498,56.61320755,7.952380952,1.999666722,1162
600,600,10,200,15,500,500,60,6.666666667,1,1721
600,600,3,200,12,500,500,200,8.333333333,1,409
600,600,2,200,12,500,500,300,8.333333333,1,285
1200,600,6,200,15,500,500,100,6.666666667,2,723
1200,600,4,200,15,500,500,150,6.666666667,2,420
1200,600,3,200,15,500,500,200,6.666666667,2,299
1200,600,2,200,15,500,500,300,6.666666667,2,199
1200,600,3,200,12,500,500,200,8.333333333,2,275
1200,600,2,200,12,500,500,300,8.333333333,2,175
